MFP_Exercise,Exercise,Type,MFP_Created
"Bench Press, Barbell",Bench Press,Push,0
"Lat Pulldown",Lat Pull Downs,Pull,0
"Dumbbell Row, One-Arm, Bent-Over",Dumbbell Rows,Pull,0
"Dumbbell Row, Two-Arm, Bent-Over",Dumbbell Rows,Pull,0
"Leg Press",Leg Press,Legs,0
"Shoulder Press",Overhead Dumbbell Press,Push,0
"Overhead Press, Machine, Seated",Overhead Dumbbell Press,Push,0
"Treadmill",Treadmill,Cardio,1
"Squat",Squats,Legs,0
"Pull Ups / Dips",Pull-ups / Dips,Pull,1
"Lateral Raise, Dumbbell, Side",Lateral Raises,Push,0
"Deadlift, Straight Leg",Deadlifts,Pull,0
"Walking Lunges",Dumbbell Walking Lunges,Legs,1
"Seated Row, Floor, Machine",Diverging Seated Rows,Pull,0
"Barbell Row, Bent-Over",Bent Over Rows,Pull,0
"Leg Raises, Hanging",Hanging Knee Raises,Core,0
"Hip Abduction, Machine, Seated",Hip Abductor,Legs,0
"Hip Adductor",Hip Adductor,Legs,1
"Leg Press (H)",Leg Press (H),Legs,1
"Sit-Ups",Incline Situps,Core,0
"Goblet Squats",Goblet Squats,Legs,1
"Incline Bench Press",Incline Bench Press,Push,0
"Kettlebell Swings",Kettlebell Swings,Pull,1
"Bench (Chest) Press, Machine",Incline Chest Press,Push,0
"Vertical Leg Lift, Knees Bent (Dip Bars)",Vertical Knee Raises,Core,0
"Romanian Deadlifts",Romanian Deadlifts,Pull,1
"Cable Face Pulls",Cable Face Pulls,Pull,1
"Seated, Low Lat Pull-In, Two-Arm",Seated Low Row,Pull,0
"Skull Crushers",Skull Crushers,Pull,1
"Pec Dec Butterfly (Pectoral Fly)",Pec Flys,Push,0
"Leg Extension",Leg Extension,Legs,0